Graph Name,Vertices,Edges,Edges in TC,Serial Run-time
Tina_AskCal.csv,0,29,82,0.00182296
GD02_a.csv,0,87,484,0.01718142
ibm32.csv,0,126,1024,0.05258951
GD95_c.csv,0,287,3844,0.46784164
GD02_b.csv,0,232,4880,0.51608505
GD97_a.csv,0,332,7056,1.10235552
GD98_b.csv,0,207,12480,1.47184795
GD96_d.csv,0,229,3365,0.31838235
